Order_ID,Order_Date,Region,Category,Sales_Channel,Units_Sold,Unit_Price,Discount_%,Revenue,COGS_per_unit,Total_COGS,Marketing_Spend,Profit,Profit_Margin_%
1,13-04-2023,Asia,Beauty,Online,3,183.7,0,551.1,82.68417803,248.0525341,132.023592,171.0238739,31.03
2,11-03-2024,MEA,Beauty,Retail,4,408.35,15,1388.39,203.3564171,813.4256684,92.69863074,482.2657008,34.74
3,28-09-2023,South America,Sports,Marketplace,7,252.52,30,1237.348,114.5042734,801.5299136,191.8611345,243.9569519,19.72
4,17-04-2023,Europe,Sports,Online,2,497.4,0,994.8,220.6707602,441.3415205,64.70952759,488.7489519,49.13
5,13-03-2023,Europe,Home,Marketplace,8,233.99,30,1310.344,176.1908336,1409.526669,256.1379105,-355.3205792,-27.12
6,01-12-2024,Asia,Sports,Online,5,43.32,10,194.94,29.00752171,145.0376086,12.1372769,37.76511453,19.37
7,21-01-2023,Europe,Beauty,Retail,1,344.46,30,241.122,265.0632255,265.0632255,20.02648305,-43.96770852,-18.23
8,06-09-2024,North America,Clothing,Marketplace,3,32.85,20,78.84,21.60231976,64.80695928,4.845539193,9.187501529,11.65
9,02-05-2023,MEA,Electronics,Retail,9,132.75,30,836.325,97.91379938,881.2241944,95.77272366,-140.671918,-16.82
10,11-04-2024,South America,Home,Online,5,183.33,0,916.65,114.0531561,570.2657807,111.0154478,235.3687715,25.68
11,03-08-2023,MEA,Clothing,Online,8,372.35,20,2383.04,217.8441197,1742.752958,457.3766471,182.9103949,7.68
12,27-11-2023,Asia,Electronics,Retail,1,252.18,0,252.18,154.1805724,154.1805724,24.8057785,73.1936491,29.02
13,03-04-2024,South America,Electronics,Online,7,24.04,5,159.866,12.69528835,88.86701848,21.66066238,49.33831914,30.86
14,29-03-2023,South America,Electronics,Retail,7,312.26,5,2076.529,207.0873835,1449.611685,169.9056767,457.0116386,22.01
15,08-01-2024,North America,Clothing,Retail,8,211.6,20,1354.24,160.5768837,1284.615069,68.16634758,1.458583004,0.11
16,10-04-2023,Asia,Home,Retail,3,461.7,5,1315.845,329.1650345,987.4951035,84.97593099,243.3739655,18.5
17,25-10-2024,Europe,Home,Online,1,254.79,5,242.0505,149.0011931,149.0011931,42.36814456,50.68116235,20.94
18,11-05-2023,North America,Electronics,Marketplace,9,357.4,10,2894.94,279.3322725,2513.990453,360.4569413,20.49260611,0.71
19,23-10-2024,North America,Clothing,Retail,1,117.25,0,117.25,93.11634311,93.11634311,5.676158584,18.4574983,15.74
20,05-11-2023,MEA,Electronics,Marketplace,6,382.88,5,2182.416,228.6713446,1372.028067,287.1901398,523.1977927,23.97
21,08-02-2025,MEA,Sports,Online,9,363.27,20,2615.544,270.9470861,2438.523775,182.4228924,-5.402666947,-0.21
22,10-12-2023,MEA,Home,Online,2,453,10,815.4,182.0643704,364.1287408,124.0311875,327.2400716,40.13
23,06-05-2024,North America,Beauty,Marketplace,4,26.57,5,100.966,11.33641563,45.34566252,19.66254462,35.95779287,35.61
24,18-02-2024,Europe,Electronics,Retail,2,229.28,30,320.992,93.76537747,187.5307549,24.67829716,108.7829479,33.89
25,16-03-2025,South America,Sports,Online,4,342.79,20,1096.928,243.1290175,972.5160702,208.6692332,-84.25730333,-7.68
26,21-01-2024,MEA,Home,Retail,2,56.63,0,113.26,24.45915643,48.91831286,14.66334689,49.67834024,43.86
27,11-07-2023,Europe,Clothing,Retail,1,211.2,30,147.84,85.92043013,85.92043013,13.09613201,48.82343786,33.02
28,04-10-2023,Asia,Home,Marketplace,3,471.65,5,1344.2025,216.4720258,649.4160773,186.8358438,507.9505788,37.79
29,10-06-2023,MEA,Clothing,Online,8,223.61,20,1431.104,116.8402313,934.7218505,207.4647087,288.9174408,20.19
30,04-04-2024,South America,Clothing,Marketplace,5,492.85,30,1724.975,288.7510924,1443.755462,159.5678687,121.6516691,7.05
31,10-11-2023,Asia,Electronics,Online,4,37.85,20,121.12,16.13020573,64.52082292,23.72178526,32.87739181,27.14
32,22-01-2023,Asia,Electronics,Marketplace,5,361.74,15,1537.395,216.8967333,1084.483666,238.9480687,213.963265,13.92
33,10-09-2023,South America,Home,Online,6,294.7,30,1237.74,147.121485,882.7289102,274.9005633,80.11052654,6.47
34,17-01-2025,MEA,Sports,Online,6,255.26,20,1225.248,130.1184271,780.7105628,209.8392958,234.6981414,19.16
35,14-07-2024,North America,Home,Online,5,485.72,30,1700.02,353.9737447,1769.868723,220.9509626,-290.7996859,-17.11
36,19-04-2024,South America,Beauty,Retail,6,73.53,15,375.003,58.43939622,350.6363773,47.13071716,-22.76409447,-6.07
37,28-02-2023,South America,Clothing,Retail,9,449.04,0,4041.36,262.9334015,2366.400613,461.8641908,1213.095196,30.02
38,25-05-2024,South America,Clothing,Marketplace,5,348.71,0,1743.55,184.3658636,921.8293182,248.4421514,573.2785304,32.88
39,12-11-2024,Asia,Electronics,Marketplace,6,136.91,10,739.314,105.7738279,634.6429675,131.2102427,-26.53921024,-3.59
40,20-04-2024,Europe,Sports,Online,4,451.82,30,1265.096,271.1730468,1084.692187,283.2351792,-102.8313665,-8.13
41,30-11-2024,North America,Electronics,Online,3,220.35,15,561.8925,152.5133638,457.5400913,51.9433091,52.40909961,9.33
42,21-02-2025,MEA,Beauty,Retail,6,408.97,20,1963.056,231.2709042,1387.625425,152.5020212,422.9285537,21.54
43,09-07-2023,MEA,Home,Retail,5,200.53,10,902.385,96.45882651,482.2941326,106.5145332,313.5763342,34.75
44,17-11-2024,Europe,Home,Retail,4,426.96,30,1195.488,282.6278991,1130.511596,127.7576758,-62.78127205,-5.25
45,16-07-2024,South America,Sports,Marketplace,5,321.95,10,1448.775,214.3984364,1071.992182,214.1998269,162.582991,11.22
46,20-07-2024,North America,Electronics,Retail,7,79.11,30,387.639,46.20605775,323.4424043,35.64796155,28.54863418,7.36
47,01-09-2023,MEA,Electronics,Marketplace,1,328.33,0,328.33,166.7850255,166.7850255,36.72891521,124.8160593,38.02
48,19-05-2024,MEA,Beauty,Retail,1,103.76,20,83.008,76.02758717,76.02758717,4.492265844,2.488146981,3
49,11-05-2023,South America,Home,Retail,1,211.84,15,180.064,108.0653566,108.0653566,20.6781516,51.32049181,28.5
50,29-04-2024,Europe,Electronics,Online,2,93.44,0,186.88,62.00768051,124.015361,17.1259481,45.73869088,24.47
51,29-03-2025,North America,Sports,Marketplace,9,20.79,10,168.399,11.50922445,103.58302,25.36985485,39.44612511,23.42
52,08-10-2024,Europe,Home,Retail,5,113.82,5,540.645,67.03910031,335.1955015,84.36693275,121.0825657,22.4
53,21-01-2023,Europe,Beauty,Online,9,272.82,10,2209.842,132.1979496,1189.781547,234.5842504,785.4762028,35.54
54,16-06-2023,North America,Sports,Marketplace,5,245.96,5,1168.31,162.282435,811.4121748,83.32719398,273.5706312,23.42
55,01-10-2023,North America,Clothing,Marketplace,7,255.73,30,1253.077,125.3921762,877.7452332,67.19786657,308.1339002,24.59
56,23-01-2024,MEA,Beauty,Retail,6,131.37,0,788.22,78.07130172,468.4278103,67.36069978,252.4314899,32.03
57,23-08-2024,MEA,Sports,Marketplace,2,345.73,30,484.022,183.7153064,367.4306128,39.78257109,76.80881612,15.87
58,12-11-2023,North America,Electronics,Online,3,355.09,15,905.4795,278.9027039,836.7081116,134.4951224,-65.723734,-7.26
59,14-01-2023,Asia,Clothing,Online,5,185.4,20,741.6,147.0015165,735.0075824,114.4845631,-107.8921454,-14.55
60,30-08-2023,MEA,Beauty,Marketplace,4,441.77,5,1678.726,309.8559419,1239.423768,171.9001351,267.4020972,15.93
61,15-02-2025,Asia,Electronics,Online,6,325.57,20,1562.736,258.3616075,1550.169645,304.707141,-292.1407862,-18.69
62,12-12-2023,North America,Clothing,Marketplace,8,359.39,30,2012.584,160.0795862,1280.63669,373.7791143,358.1681961,17.8
63,18-07-2024,MEA,Home,Online,8,145.9,0,1167.2,116.2720668,930.1765345,114.4721568,122.5513088,10.5
64,06-12-2023,Europe,Electronics,Marketplace,3,10.3,0,30.9,4.546650375,13.63995113,5.42124018,11.83880869,38.31
65,02-04-2023,North America,Sports,Marketplace,4,434.03,30,1215.284,245.7394133,982.9576533,84.67878333,147.6475633,12.15
66,02-01-2024,South America,Beauty,Marketplace,1,412.99,30,289.093,204.6691828,204.6691828,24.3720801,60.05173711,20.77
67,30-03-2024,Asia,Clothing,Online,2,70.36,0,140.72,54.98904079,109.9780816,22.66363477,8.078283646,5.74
